Format Version,1.23,Take Name,IR_018,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-11-26 11.52.01.406 下午,Total Frames in Take,8372,Total Exported Frames,8372,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,RigidBody 002,RigidBody 002,RigidBody 002,RigidBody 002,RigidBody 002,RigidBody 002,RigidBody 002,RigidBody 003,RigidBody 003,RigidBody 003,RigidBody 003,RigidBody 003,RigidBody 003,RigidBody 003
,ID,"980E5DCFAC0111EF1656CE49CF709B83","980E5DCFAC0111EF1656CE49CF709B83","980E5DCFAC0111EF1656CE49CF709B83","980E5DCFAC0111EF1656CE49CF709B83","980E5DCFAC0111EF1656CE49CF709B83","980E5DCFAC0111EF1656CE49CF709B83","980E5DCFAC0111EF1656CE49CF709B83","47E381E0AC0B11EF1656CE49CF709B83","47E381E0AC0B11EF1656CE49CF709B83","47E381E0AC0B11EF1656CE49CF709B83","47E381E0AC0B11EF1656CE49CF709B83","47E381E0AC0B11EF1656CE49CF709B83","47E381E0AC0B11EF1656CE49CF709B83","47E381E0AC0B11EF1656CE49CF709B83"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
95,0.791667,-0.009664,0.965053,-0.002569,-0.261863,-2.434834,1.111358,-0.036331,0.000065,-0.016276,-0.000015,-0.999868,-0.091795,1.177502,-2.274130
96,0.800000,-0.009633,0.965055,-0.002547,-0.261857,-2.434860,1.111370,-0.036340,0.000136,-0.016304,-0.000039,-0.999867,-0.091797,1.177509,-2.274137
97,0.808333,-0.009672,0.965054,-0.002481,-0.261860,-2.434852,1.111355,-0.036366,0.000030,-0.016380,-0.000025,-0.999866,-0.091808,1.177496,-2.274190
98,0.816667,-0.009612,0.965050,-0.002562,-0.261878,-2.434863,1.111362,-0.036339,0.000080,-0.016296,-0.000013,-0.999867,-0.091799,1.177495,-2.274133
99,0.825000,-0.009773,0.965012,-0.002541,-0.262012,-2.434816,1.111356,-0.036363,0.000149,-0.016294,-0.000031,-0.999867,-0.091794,1.177502,-2.274133
100,0.833333,-0.009771,0.965015,-0.002581,-0.262000,-2.434801,1.111359,-0.036331,-0.000051,-0.016400,-0.000124,-0.999866,-0.091859,1.177568,-2.274216
101,0.841667,-0.009716,0.965047,-0.002583,-0.261882,-2.434814,1.111365,-0.036332,0.000083,-0.016279,-0.000031,-0.999867,-0.091791,1.177502,-2.274137
102,0.850000,-0.009731,0.965055,-0.002560,-0.261853,-2.434809,1.111355,-0.036345,0.000172,-0.016315,-0.000048,-0.999867,-0.091797,1.177501,-2.274131
103,0.858333,-0.009341,0.965286,-0.002441,-0.261017,-2.434841,1.111431,-0.036434,0.000208,-0.016312,-0.000032,-0.999867,-0.091781,1.177504,-2.274135
104,0.866667,-0.009666,0.965058,-0.002543,-0.261847,-2.434839,1.111355,-0.036331,0.000090,-0.016286,-0.000041,-0.999867,-0.091793,1.177508,-2.274128
105,0.875000,-0.009708,0.965047,-0.002561,-0.261886,-2.434825,1.111362,-0.036347,0.000072,-0.016363,-0.000030,-0.999866,-0.091796,1.177495,-2.274181
106,0.883333,-0.009669,0.965030,-0.002587,-0.261950,-2.434850,1.111361,-0.036316,0.000095,-0.016284,-0.000047,-0.999867,-0.091792,1.177505,-2.274128
107,0.891667,-0.009693,0.965026,-0.002617,-0.261963,-2.434833,1.111351,-0.036314,0.000205,-0.016369,-0.000070,-0.999866,-0.091791,1.177500,-2.274166
108,0.900000,-0.009747,0.965037,-0.002609,-0.261918,-2.434798,1.111351,-0.036324,0.000206,-0.016315,-0.000057,-0.999867,-0.091786,1.177495,-2.274123
109,0.908333,-0.009749,0.965018,-0.002547,-0.261990,-2.434819,1.111358,-0.036354,0.000171,-0.016305,-0.000081,-0.999867,-0.091787,1.177509,-2.274128
110,0.916667,-0.009746,0.965035,-0.002586,-0.261927,-2.434805,1.111362,-0.036330,0.000073,-0.016292,-0.000064,-0.999867,-0.091784,1.177514,-2.274131
111,0.925000,-0.009666,0.965047,-0.002558,-0.261886,-2.434857,1.111360,-0.036331,0.000262,-0.016293,-0.000061,-0.999867,-0.091779,1.177506,-2.274113
112,0.933333,-0.009731,0.965023,-0.002543,-0.261973,-2.434828,1.111361,-0.036346,-0.000070,-0.016396,-0.000125,-0.999866,-0.091842,1.177566,-2.274210
113,0.941667,-0.009736,0.965064,-0.002537,-0.261820,-2.434794,1.111364,-0.036349,0.000110,-0.016346,-0.000034,-0.999866,-0.091798,1.177495,-2.274169
114,0.950000,-0.009815,0.965065,-0.002525,-0.261813,-2.434762,1.111369,-0.036364,0.000153,-0.016298,-0.000028,-0.999867,-0.091795,1.177493,-2.274124
115,0.958333,-0.009716,0.965042,-0.002571,-0.261903,-2.434819,1.111352,-0.036334,0.000196,-0.016315,-0.000015,-0.999867,-0.091772,1.177491,-2.274125
